ID,NOM_USUEL,LON,LAT
11004001,ALAIGNE,2.098333,43.1125
11012001,ARGELIERS,2.911667,43.308167
11015001,ARQUES,2.374833,42.951833
11016003,ARQUETTES-EN-VAL,2.503333,43.100833
11028001,BELCAIRE,1.968167,42.8195
11069001,CARCASSONNE,2.2955,43.215333
11081003,CAUNES-MINERVOIS,2.481,43.334333
11110001,COUSTOUGE,2.743667,43.048333
11124003,DURBAN-CORBIERES,2.819167,42.993167
11136001,FANJEAUX_SAPC,2.07,43.202
11144001,FITOU,2.995833,42.894667
11159002,RIBOUISSE,1.895833,43.182833
11168001,GRANES,2.2505,42.909167
11185001,LAGRASSE,2.621833,43.0915
11202001,LEUCATE,3.059667,42.917333
11203004,LEZIGNAN-CORBIERES,2.728833,43.173
11206003,LIMOUX,2.201167,43.046
11221004,LES MARTYS,2.292333,43.4085
11243001,MONTFERRAND,1.821667,43.3535
11253001,MONTOLIEU,2.2405,43.312667
11260002,MOUTHOUMET,2.529,42.9595
11262005,NARBONNE,2.955833,43.150333
11371001,SALLES-SUR-L'HERS,1.783667,43.295333
11404001,VENTENAC-CABARDES,2.302333,43.264833
11412001,VILLARDEBELLE_SAPC,2.4005,43.014833
12014001,AURELLE-VERLAC_SAPC,3.007667,44.5335
12024001,BELCASTEL,2.339167,44.387333
12063003,MILLAU-LARZAC_SAPC,3.181833,43.987
12068001,COLOMBIES,2.317167,44.357833
12077002,CORNUS,3.192167,43.922333
12094002,ENTRAYGUES SUR,2.559667,44.635833
12096001,ESPALION,2.768667,44.5095
12145001,MILLAU,3.0195,44.1185
12253001,SALLES CURAN,2.866167,44.151833
12254001,RODEZ-AVEYRON,2.4825,44.410333
30003001,AIGUES-MORTES,4.207,43.537167
30068001,CARDET,4.079667,44.021
30087002,COLOGNAC,3.825,44.021833
30101001,DEAUX,4.143667,44.071833
30106001,DURFORT ET ST MARTIN DE SOSSEN,3.953333,43.991
30129001,GENERARGUES,3.977667,44.073333
30130001,GENOLHAC,3.9615,44.342833
30132004,LA GRAND COMBE,4.010167,44.243
30153003,MALONS ET ELZE,4.022833,44.417333
30164001,MEJANNES-LE-CLAP,4.331,44.216333
30175001,MONTCLUS,4.430333,44.268
30183001,MOULEZAN,4.128167,43.930833
30189001,NIMES-COURBESSAC,4.406333,43.856833
30189002,NIMES-PONGE,4.302833,43.866
30200002,POMPIGNAN,3.852833,43.894833
30202002,PONT ST ESPRIT,4.627333,44.248333
30209002,PUJAUT,4.759667,43.9985
30224001,LA ROUVIERE,4.2405,43.931833
30243001,ST CHRISTOL-LES-ALES,4.080333,44.092167
30258001,NIMES-GARONS,4.412833,43.772833
30269006,ST JEAN DU GARD,3.872,44.1105
30283001,ST MARTIAL,3.7345,44.035833
30297001,ST SAUVEUR CAMPRIEU,3.4745,44.119333
30305001,SALINDRES,4.1525,44.1745
30334003,UZES,4.401833,43.9925
30339001,MONT AIGOUAL,3.5815,44.121333
30349001,VIC LE FESQ,4.072167,43.870833
30350001,LE VIGAN,3.6115,43.99
30352002,VILLEVIEILLE,4.090833,43.795167
34008001,LES AIRES,3.108333,43.584167
34028003,BEDARIEUX,3.146,43.639833
34046005,CAMBON-ET-SALVERGUES,2.865333,43.622333
34151005,MARSILLARGUES,4.168,43.633833
34154001,MONTPELLIER-AEROPORT,3.964667,43.576167
34163001,MONTARNAUD,3.688167,43.635833
34178001,MURVIEL LES BEZIERS,3.146,43.476
34209002,BEZIERS-VIAS,3.352667,43.322
34217001,PRADES LE LEZ,3.866667,43.718333
34233001,ROQUEREDONDE,3.212667,43.8
34239002,ST ANDRE DE SANGONIS,3.507833,43.664167
34274001,ST MARTIN DE LONDRES,3.729333,43.7795
34301002,SETE,3.692167,43.397333
34302001,SIRAN,2.675167,43.3265
34311001,PEZENAS-TOURBES,3.400333,43.437667
34319001,VAILHAN,3.299333,43.546833
34337001,VILLENEUVE-LES-MAG-INRAE,3.853833,43.538167
48004001,ALTIER,3.852,44.494
48020003,BASSURELS,3.630667,44.1965
48027002,LE BLEYMARD BOURG,3.737667,44.504667
48027003,LE BLEYMARD_SAPC,3.748167,44.4515
48036001,CASSAGNAS,3.763333,44.270333
48043001,CHATEAUNEUF-DE-RANDON,3.679833,44.638167
48045001,CHAUDEYRAC,3.76,44.665
48051002,LE COLLET-SAUVEPLANE,3.925667,44.256
48061002,FLORAC,3.596333,44.309
48095005,MENDE,3.4545,44.533667
48103001,MONTRODAT,3.3125,44.545833
48110001,PAULHAC EN MARGERIDE_SAPC,3.38,44.947667
48116001,LE PONT-DE-MONTVERT,3.738333,44.365667
48126001,RIBENNES,3.419667,44.647667
48156002,ST GERMAIN DU TEIL,3.160667,44.478
48176002,ST PIERRE-DES-TRIPIERS,3.3035,44.2465
48187003,LES SALCES-FROMENTAL,3.155167,44.532667
81014001,ANGLES,2.561667,43.556833
81069001,CORDES,1.955667,44.074167
81124001,LACAUNE,2.704167,43.708333
81140002,LAVAUR,1.866167,43.693667
81182004,MONTREDON-LABESSONNIE,2.3555,43.725
81219001,PUYLAURENS,2.009167,43.570333
81284001,ALBI,2.116333,43.914667
81292001,TANUS,2.279667,44.107167
